Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,Packaging,Unit Price (@ Batch Size: 1),In Stock,MOQ,URL
,,,,,,,,,Digi-Key,Digi-Key,Digi-Key,Digi-Key,Digi-Key,Digi-Key
1,7448040435,Würth Elektronik,7448040435,https://octopart.com/7448040435-w%C3%BCrth+elektronik-46948354,L1,7448040435,AE01.17.25.000:L_CommonMode_Wuerth_WE-CMB-NC,1,732-5587-ND,Box,11.7577416,6,1,https://octopart.com/click/track?ai=8237&sig=04390f1&sid=459&ppid=46948354&vpid=120325027&ct=offers
1,RLB0914-100KL,Bourns,RLB0914-100KL,https://octopart.com/rlb0914-100kl-bourns-1779431,L2,RLB0914-100KL,Inductor_THT:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,RLB0914-100KL-ND,Bulk,0.3562952,6489,1,https://octopart.com/click/track?ai=8237&sig=0e34335&sid=459&ppid=1779431&vpid=34240488&ct=offers
1,ALSR015R000JE12,Vishay,ALSR015R000JE12,https://octopart.com/alsr015r000je12-vishay-45034626,R1,ALSR015R000JE12,Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P20.32mm_Horizontal,1,ALSR1J-5.0-ND,Bulk,1.40736604,0,1,https://octopart.com/click/track?c=1&ai=8237&sig=0fd5f9f&sid=459&ppid=45034626&vpid=119613507&ct=offers
1,RNF14FTD9K09,Stackpole Electronics,RNF14FTD9K09,https://octopart.com/rnf14ftd9k09-stackpole+electronics-19225129,R2,RNF14FTD9K09,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,RNF14FTD9K09CT-ND,Cut Tape,0.0890738,16110,1,https://octopart.com/click/track?ai=8237&sig=084de1b&sid=459&ppid=19225129&vpid=34425969&ct=offers
1,CF12JT2K00,Stackpole Electronics,CF12JT2K00,https://octopart.com/cf12jt2k00-stackpole+electronics-19205152,R3,CF12JT2K00,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,CF12JT2K00CT-ND,Cut Tape,0.0890738,34006,1,https://octopart.com/click/track?ai=8237&sig=093877b&sid=459&ppid=19205152&vpid=34418589&ct=offers
1,RNF14FTD68R1,Stackpole Electronics,RNF14FTD68R1,https://octopart.com/rnf14ftd68r1-stackpole+electronics-19225048,R4,RNF14FTD68R1,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,RNF14FTD68R1CT-ND,Cut Tape,0.0890738,10773,1,https://octopart.com/click/track?ai=8237&sig=0b886fc&sid=459&ppid=19225048&vpid=34425897&ct=offers
1,RNF14FTD475R,Stackpole Electronics,RNF14FTD475R,https://octopart.com/rnf14ftd475r-stackpole+electronics-19224965,R5,RNF14FTD475R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,RNF14FTD475RCT-ND,Cut Tape,0.0890738,15125,1,https://octopart.com/click/track?ai=8237&sig=0365392&sid=459&ppid=19224965&vpid=34425813&ct=offers
1,MFR-25FBF52-13K3,Yageo,MFR-25FBF52-13K3,https://octopart.com/mfr-25fbf52-13k3-yageo-9297031,R7,MFR-25FBF52-13K3,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,13.3KXBK-ND,Bulk,0.0890738,16183,1,https://octopart.com/click/track?c=1&ai=8237&sig=0955dd1&sid=459&ppid=9297031&vpid=39633971&ct=offers
1,MFR-25FBF52-3K48,Yageo,MFR-25FBF52-3K48,https://octopart.com/mfr-25fbf52-3k48-yageo-55651190,R8,MFR-25FBF52-3K48,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,3.48KXBK-ND,Bulk,0.0890738,6797,1,https://octopart.com/click/track?ai=8237&sig=0f7f937&sid=459&ppid=55651190&vpid=39634205&ct=offers
1,CVP 32-001,,,,T1,CVP 32-001,AE01.17.29.000:CVP_32-001,1,,,,,,
1,VIPER22ADIP-E,STMicroelectronics,VIPER22ADIP-E,https://octopart.com/viper22adip-e-stmicroelectronics-40016435,U1,VIPER22ADIP-E,Package_DIP:DIP-8_W7.62mm,1,497-7694-5-ND,Tube,0.88183062,2814,1,https://octopart.com/click/track?ai=8237&sig=0d84a2c&sid=459&ppid=40016435&vpid=115659030&ct=offers
1,LTV-817,Lite-On,LTV-817,https://octopart.com/ltv-817-lite-on-704239,U2,LTV-817,Package_DIP:DIP-4_W7.62mm,1,160-1366-5-ND,Tube,0.36520258,4314,1,https://octopart.com/click/track?ai=8237&sig=04c1f1d&sid=459&ppid=704239&vpid=1573651&ct=offers
1,TL431CLPRE3,Texas Instruments,TL431CLPRE3,https://octopart.com/tl431clpre3-texas+instruments-723235,U3,TL431CLPRE3,Package_TO_SOT_THT:TO-92_Inline_Wide,1,296-50402-1-ND,Cut Tape,0.3117583,6695,1,https://octopart.com/click/track?ai=8237&sig=0acfd5b&sid=459&ppid=723235&vpid=507250097&ct=offers
